hour,P_pv_actual_MW,P_wind_actual_MW,P_renewable_actual_MW,P_load_actual_MW,purchase_price_EUR_MWh,selling_price_EUR_MWh,P_import_MW,P_export_MW,P_curtailment_MW,P_charge_MW,P_discharge_MW,P_electrolyzer_MW,P_fuel_cell_MW,SoC,SoH,hourly_market_cost_EUR,cumulative_market_cost_EUR,power_balance_error_MW,objective_24h
0.0,0.0,0.17355972971189387,0.17355972971189387,2.899077341163426,468.68,170.28,2.725517611451532,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1277.3955941351041,1277.3955941351041,0.0,54671.52445992212
1.0,0.0,0.5573808574745123,0.5573808574745123,2.091564575162762,468.68,155.72,1.5341837176882496,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,719.0412248061289,1996.436818941233,0.0,56172.018996093604
2.0,0.0,0.12797116724335217,0.12797116724335217,1.7988559907067132,468.68,147.09,1.6708848234633602,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,783.1102990608076,2779.5471180020404,-8.881784197001252e-16,57972.421429417765
3.0,0.0,0.13812035540752815,0.13812035540752815,1.981634486840393,468.68,91.0,1.843514131432865,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,864.0182031199552,3643.5653211219956,0.0,58657.00283941045
4.0,0.0,0.0,0.0,2.469745118237022,468.68,104.0,2.469745118237021,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1157.520142015327,4801.085463137322,-8.881784197001252e-16,60292.79755859447
5.0,0.0,0.12405801776618669,0.12405801776618669,2.364811852111125,468.68,140.6,2.2407538343449387,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1050.196507080786,5851.281970218108,0.0,60643.224332161044
6.0,0.0,0.46276987534065067,0.46276987534065067,2.7080146398100857,548.5799999999999,147.09,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,2.2452447644694358,0.9,0.8272888642715819,-1.3064216375369142e-13,5851.281970218108,0.0,60952.59541571548
7.0,0.0,0.0,0.0,3.638738521556904,532.76,99.99,3.638738521556904,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715818,1938.5743347446562,7789.856304962764,0.0,61986.08138628023
8.0,0.5100377595381577,0.21357614014115905,0.7236138996793167,3.097240789845169,532.76,67.99,2.3736268901658524,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715817,1264.5734620047594,9054.429766967523,0.0,60147.370461727594
9.0,0.717585985718922,0.0,0.717585985718922,4.282934098931573,532.76,95.0,3.56534811321265,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,1899.4748607951715,10953.904627762695,-8.881784197001252e-16,58880.2948740658
10.0,0.5263991003654083,0.0,0.5263991003654083,5.206294242695581,532.76,135.8,4.679895142330173,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,2493.260936027823,13447.165563790517,0.0,57425.81330078906
11.0,1.3280237764370784,0.0,1.3280237764370784,4.148282890265948,532.76,150.7,2.82025911382887,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,1502.5212454834686,14949.686809273986,0.0,54513.57915745366
12.0,1.0772610349577385,0.0,1.0772610349577385,6.0252471016233695,532.76,155.72,4.9479860666656315,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,2636.089056876782,17585.77586615077,0.0,53820.63234523281
13.0,0.9546817373648923,0.0,0.9546817373648923,8.978632010346404,532.76,147.09,8.023950272981512,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,4274.839747433631,21860.6156135844,0.0,51992.402714371645
14.0,0.7904671350363127,0.0,0.7904671350363127,9.449122268732006,532.76,100.0,8.658655133695694,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,4612.985109027718,26473.60072261212,0.0,48247.79440918625
15.0,0.39533323034929174,0.0,0.39533323034929174,10.740537815861607,532.76,155.0,10.345204585512315,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,5511.511194977541,31985.11191758966,0.0,43936.39970056132
16.0,0.05613176098809179,0.0,0.05613176098809179,6.745315479189611,532.76,169.78,6.6891837182015195,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,3563.7295177090414,35548.8414352987,0.0,39753.11219061464
17.0,0.0,0.02567901297972872,0.02567901297972872,8.990992570514205,532.76,203.1,8.965313557534476,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,4776.360450912067,40325.201886210765,0.0,37522.001935702836
18.0,0.0,0.18482861448465498,0.18482861448465498,5.891647855533277,548.5799999999999,205.83,5.706819241048622,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,3130.646899254453,43455.84878546522,0.0,33543.09235955961
19.0,0.0,0.11787827802684997,0.11787827802684997,5.359354796289532,548.5799999999999,214.66,5.241476518262682,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8272888642715815,2875.3691883885417,46331.21797385376,0.0,30141.962288902312
20.0,0.0,0.15555639073506095,0.15555639073506095,5.60604001840946,548.5799999999999,214.66,2.4328971420823167,0.0,0.0,0.0,0.0,0.0,3.017586485592082,0.9,0.5951668269183444,1334.638714203517,47665.856688057276,0.0,26627.10263119471
21.0,0.0,0.03407407491540926,0.03407407491540926,6.11348046198657,548.5799999999999,203.0,0.0,0.0,0.0,0.0,0.7600000000000001,0.0,5.31940638707116,0.1,0.18598172022056284,0.0,47665.856688057276,-8.881784197001252e-16,24546.524013482584
22.0,0.0,0.02123456842554491,0.02123456842554491,6.85011724999596,468.68,180.0,7.67098794472831,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.9,0.18598172022056284,3595.2386299352643,51261.09531799254,0.0,24675.637402796387
23.0,0.0,0.01876543256210944,0.01876543256210944,7.6021389905534145,468.68,162.44,7.583373557991305,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,3554.1755191593647,54815.270837151904,0.0,21225.91998144781
24.0,0.0,0.039506124432249996,0.039506124432249996,5.12831751736825,468.68,151.12983,5.088811392936,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,2385.0241236412444,57200.29496079315,0.0,17803.968959062706
25.0,0.0,0.052936691277516545,0.052936691277516545,4.2407241009006675,468.68,142.85,4.187787409623151,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,1962.7322031421784,59163.02716393533,0.0,14887.82180441033
26.0,0.0,0.1415688178372513,0.1415688178372513,4.021915886827636,468.68,140.6,3.880347068990385,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,1818.6410642944136,60981.66822822974,0.0,13175.783168201446
27.0,0.0,0.36956485917447157,0.36956485917447157,4.483069977425698,468.68,100.0,4.1135051182512266,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,1927.917578821985,62909.58580705173,0.0,10992.389218060398
28.0,0.0,0.4045139539508398,0.4045139539508398,3.9839137390682473,468.68,140.6,3.5793997851174075,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,1677.5930912888266,64587.17889834056,0.0,9767.874476343293
29.0,0.0,1.3128470174377007,1.3128470174377007,4.841657717680378,468.68,141.93,3.528810700242677,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18598172022056284,1653.8829989897379,66241.06189733029,0.0,9488.681616785374
30.0,0.0,3.5883630766166106,3.5883630766166106,5.88546757544555,548.5799999999999,147.09,0.0,4.440892098500626e-16,0.0,0.0,0.5035942782935705,0.0,1.7935102205353692,0.3699007596909785,0.048019395563995974,-6.532108187684571e-14,66241.06189733029,0.0,10841.398304307755
31.0,0.0,5.153978471434392,5.153978471434392,6.79160183216866,532.76,153.7821,1.381217639027838,0.0,0.0,0.0,0.2564057217064299,0.0,0.0,0.1,0.04801939556399597,735.8575093684709,66976.91940669877,0.0,12642.479385941751
32.0,0.0,7.030611158775426,7.030611158775426,6.626049223079703,532.76,152.59,0.0,0.0,0.0,0.40456193569572296,0.0,0.0,0.0,0.48433383891093684,0.04801939556399597,0.0,66976.91940669877,0.0,14700.454075170916
33.0,0.48190564511047645,6.954274879591632,7.436180524702109,9.166670319315655,532.76,155.72,1.3653726476481558,0.0,0.0,0.0,0.36511714696539016,0.0,0.0,0.1,0.04801939556399597,727.4159317610315,67704.3353384598,0.0,18035.437944537523
34.0,0.6883525672272792,6.569638114910363,7.257990682137643,5.974884393696179,532.76,167.98,0.0,0.4410010252835693,0.0,0.8421052631578947,0.0,0.0,0.0,0.9,0.04801939556399597,-74.07935222713397,67630.25598623267,0.0,21036.37075713397
35.0,1.5311999677254329,6.464887591495725,7.996087559221158,9.399811523372696,532.76,175.08,1.4037239641515376,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.048019395563997015,747.8479791413731,68378.10396537404,0.0,23439.312000263446
36.0,1.586562014622887,6.864580254924949,8.451142269547836,9.633084222753117,532.76,189.58,1.1500933903954011,0.0,0.0,0.0,0.031848562809880826,0.0,0.0,0.8664751970422307,0.04801939556399701,612.7237546670539,68990.8277200411,0.0,25511.156644084916
37.0,1.3444384301858399,6.804878575830393,8.149317006016233,9.646365250169248,532.76,169.69,1.4970482441530155,0.0,0.0,0.0,0.0,0.0,0.0,0.8664751970422307,0.048019395563997,797.5674225549606,69788.39514259605,0.0,29325.888166502176
38.0,1.2948422379359612,7.087474697695921,8.382316935631883,8.479475771988954,532.76,155.72,0.0,0.0,0.0,0.0,0.09715883635707101,0.0,0.0,0.7642027377189982,0.048019395563997,0.0,69788.39514259605,0.0,31078.994653554702
39.0,0.4440401028173474,6.632402420004229,7.076442522821576,9.5703609546543,532.76,167.75,2.493918431832723,0.0,0.0,0.0,0.0,0.0,0.0,0.7642027377189982,0.048019395563997,1328.6599837432016,71117.05512633926,0.0,34856.782705340906
40.0,0.10732449334520718,6.096445683946735,6.2037701772919425,8.270792697624584,532.76,194.21,1.4360299194995931,0.0,0.0,0.0,0.6309926008330484,0.0,0.0,0.1,0.048019395563997,765.0592999126033,71882.11442625186,0.0,37004.363580866644
41.0,0.0,6.19884778080319,6.19884778080319,7.578469832781861,532.76,245.0,1.3796220519786715,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.048019395563997,735.007444412157,72617.12187066402,0.0,38897.155296496545
42.0,0.0,6.635388324782858,6.635388324782858,6.54504810537211,548.5799999999999,225.19,0.0,0.0,0.0,0.09034021941074855,0.0,0.0,0.0,0.18582320844021114,0.048019395563997,0.0,72617.12187066402,0.0,43241.82491077635
43.0,0.0,6.880746528147048,6.880746528147048,5.98395757084462,548.5799999999999,216.29,0.0,0.14502391355528177,0.0,0.7517650437471467,0.0,0.0,0.0,0.9,0.048019395563997,-31.36722226287189,72585.75464840115,0.0,45983.55403533987
44.0,0.0,6.5696501911836265,6.5696501911836265,5.651274408816799,548.5799999999999,202.67367,0.0,0.0,0.0,0.0,0.40423843188772546,1.322614214254553,0.0,0.47448586117081537,0.09629481438428818,0.0,72585.75464840115,0.0,48975.197751246604
45.0,0.0,5.8113166906678755,5.8113166906678755,4.992745841461946,548.5799999999999,178.41,0.0,0.37066122938573565,0.0,0.4479096198201944,0.0,0.0,0.0,0.9,0.09629481438428818,-66.1296699347091,72519.62497846644,0.0,51940.28396879357
46.0,0.0,6.107549353051476,6.107549353051476,6.4853492296573805,468.68,154.44,0.0,0.0,0.0,0.0,0.3777998766059047,0.0,0.0,0.5023159193622057,0.09629481438428818,0.0,72519.62497846644,0.0,53404.064454457584
47.0,0.0,6.390715858837377,6.390715858837377,7.253807885334601,468.68,144.79,0.6142667908037137,0.0,0.0,0.0,0.24882523569351023,0.0,0.0,0.2403946186321949,0.09629481438428818,287.89455951388453,72807.51953798032,0.0,56162.09291341171
48.0,0.0,5.685579741935412,5.685579741935412,5.163295272743548,468.68,127.0,0.0,0.0,0.0,0.522284469191864,0.0,0.0,0.0,0.7365648643644657,0.09629481438428818,0.0,72807.51953798032,0.0,58060.19289050041
49.0,0.0,4.940506873352939,4.940506873352939,4.135922330098146,468.68,127.0,0.3674524416247163,0.0,0.0,0.17203698487950986,0.0,1.0,0.0,0.9,0.13279481438428817,172.21761034067202,72979.73714832099,0.0,60586.84190088654
50.0,0.0,3.838283133911411,3.838283133911411,3.999298691620138,468.68,84.62,0.1610155577087271,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.13279481438428814,75.46477158692622,73055.20191990791,0.0,62239.88916144938
51.0,0.0,2.4786460326379665,2.4786460326379665,3.8276972977706576,468.68,83.27,1.349051265132691,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.13279481438428814,632.2733469423896,73687.47526685029,0.0,63506.77325174395
52.0,0.0,1.4417434389428487,1.4417434389428487,4.445199324989689,468.68,85.0,3.00345588604684,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.13279481438428814,1407.659704672433,75095.13497152273,0.0,64312.68778421086
53.0,0.0,1.4129789699644613,1.4129789699644613,6.226566438012579,468.68,84.5,4.813587468048118,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.13279481438428814,2256.032174524792,77351.16714604752,0.0,64624.739648265524
54.0,0.0,1.627714467834585,1.627714467834585,5.29465909837833,548.5799999999999,164.46,2.9069446305437445,0.0,0.0,0.0,0.7600000000000001,0.0,0.0,0.1,0.13279481438428814,1594.6916854236872,78945.85883147121,-8.881784197001252e-16,64710.090547894324
55.0,0.0,1.9655179203398245,1.9655179203398245,6.457735212257239,532.76,202.03,4.492217291917415,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13279481438428814,2393.273684441922,81339.13251591314,0.0,66156.75062638083
56.0,0.008777301386098071,1.208189812432248,1.2169671138183462,6.959915842994951,532.76,212.0,5.742948729176605,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13279481438428814,3059.613364956128,84398.74588086926,0.0,66336.62564560739
57.0,0.6949196708048831,1.0424330149795478,1.737352685784431,8.372570076046843,532.76,232.0,6.635217390262412,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13279481438428814,3534.9784168362025,87933.72429770547,0.0,65909.51447742169
